"","species","cell","year","elev_factor","arr_GAM_mean","arr_GAM_sd"
"85","Tree Swallow",590,2006,0,87.5713333333333,2.13286065815013
"86","Tree Swallow",591,2006,0,93.4466666666667,3.50189138942412
"87","Tree Swallow",592,2006,0,90.1316666666667,7.42464627752312
"88","Tree Swallow",594,2006,0,95.5403333333333,3.01740641435301
"89","Tree Swallow",595,2006,0,96.7746666666667,1.89448882767751
"90","Tree Swallow",618,2006,0,89.9433333333333,2.70577702308506
"91","Tree Swallow",619,2006,0,91.7363333333333,2.65527714582287
"92","Tree Swallow",620,2006,0,93.7056666666667,1.52133911838438
"93","Tree Swallow",621,2006,0,99.4603333333333,1.69136437825863
"94","Tree Swallow",622,2006,0,97.0576666666667,2.76216420087215
"95","Tree Swallow",646,2006,0,85.3103333333333,4.58254221147269
"96","Tree Swallow",647,2006,0,90.2866666666667,3.87420857116733
"97","Tree Swallow",648,2006,0,92.1226666666667,4.6149090295121
"98","Tree Swallow",649,2006,0,86.7166666666667,2.33228115815591
"99","Tree Swallow",674,2006,0,67.937,4.29059056414494
"100","Tree Swallow",701,2006,0,72.6996666666667,7.49031607035601
"101","Tree Swallow",736,2006,0,103.357,6.65980495214897
"102","Tree Swallow",738,2006,0,124.019,6.23775671773296
"103","Tree Swallow",392,2007,2,119.726,3.67379316947539
"104","Tree Swallow",393,2007,2,116.865333333333,4.85163659824696
"105","Tree Swallow",417,2007,0,78.886,5.89377492452448
"106","Tree Swallow",419,2007,1,87.246,7.31259019261356
"107","Tree Swallow",498,2007,0,50.9053333333333,6.76507898353301
"108","Tree Swallow",534,2007,0,108.499333333333,4.5369072503217
"109","Tree Swallow",558,2007,3,102.531666666667,5.14935295296089
"110","Tree Swallow",563,2007,0,104.345333333333,2.37948850471489
"111","Tree Swallow",567,2007,0,112.334666666667,1.64303522293448
"112","Tree Swallow",589,2007,0,78.8966666666667,14.0797514900974
"113","Tree Swallow",590,2007,0,91.2386666666667,1.61345570189873
"114","Tree Swallow",591,2007,0,91.1136666666667,2.84618694904929
"115","Tree Swallow",592,2007,0,99.5093333333333,4.72553592574262
"116","Tree Swallow",594,2007,0,99.2506666666667,2.52981544998034
"117","Tree Swallow",595,2007,0,105.136,2.44789053186998
"118","Tree Swallow",618,2007,0,91.896,4.45381441249413
"119","Tree Swallow",619,2007,0,87.5123333333333,2.21302516532228
"120","Tree Swallow",620,2007,0,93.9783333333333,2.88582279658562
"121","Tree Swallow",621,2007,0,96.7876666666667,2.21394408353595
"122","Tree Swallow",621,2007,1,110.034666666667,4.07164884663845
"123","Tree Swallow",622,2007,0,99.1023333333333,2.38504172505059
"124","Tree Swallow",646,2007,0,84.4453333333333,3.84498888625189
"125","Tree Swallow",647,2007,0,81.6653333333333,3.01236723209549
"126","Tree Swallow",648,2007,0,89.7743333333333,3.10965666010523
"127","Tree Swallow",649,2007,0,86.0246666666667,2.44759510461887
"128","Tree Swallow",674,2007,0,73.949,5.68030113112971
"129","Tree Swallow",701,2007,0,67.532,7.38722995369688
"130","Tree Swallow",736,2007,0,121.394,9.51389871484081
"131","Tree Swallow",738,2007,0,123.004666666667,5.97376543843105
"132","Tree Swallow",739,2007,0,119.305666666667,5.31102346184734
"133","Tree Swallow",392,2008,2,120.332333333333,3.31585376400764
"134","Tree Swallow",393,2008,2,118.714,5.62068216702147
"135","Tree Swallow",417,2008,0,64.378,5.99597920183709
"136","Tree Swallow",419,2008,1,112.090666666667,7.28748804798829
"137","Tree Swallow",471,2008,0,51.9956666666667,3.76010115233364
"138","Tree Swallow",471,2008,2,62.0376666666667,10.7525246718075
"139","Tree Swallow",503,2008,3,123.639,6.60408083141596
"140","Tree Swallow",534,2008,0,105.975,3.8637655935008
"141","Tree Swallow",558,2008,3,105.147666666667,4.67295124947988
"142","Tree Swallow",558,2008,5,152.892,12.0143712988197
"143","Tree Swallow",563,2008,0,107.628,2.19496893589479
"144","Tree Swallow",567,2008,0,109.215666666667,1.69807215352245
"145","Tree Swallow",589,2008,0,100.57,6.62538541600688
"146","Tree Swallow",590,2008,0,95.184,1.22255560776243
"147","Tree Swallow",591,2008,0,99.779,1.82115289472226
"148","Tree Swallow",592,2008,0,104.208,2.80131251093624
"149","Tree Swallow",594,2008,0,100.038333333333,1.58840745244008
"150","Tree Swallow",595,2008,0,100.373333333333,2.05053418707733
"151","Tree Swallow",618,2008,0,101.198,3.14771324925993
"152","Tree Swallow",619,2008,0,95.59,1.62955571161971
"153","Tree Swallow",620,2008,0,97.8403333333333,1.56598978185934
"154","Tree Swallow",621,2008,0,98.8943333333333,1.30833423419949
"155","Tree Swallow",621,2008,1,109.949666666667,3.54334846273009
"156","Tree Swallow",622,2008,0,97.16,3.36048076079124
"157","Tree Swallow",646,2008,0,89.7923333333333,2.33388593624667
"158","Tree Swallow",647,2008,0,86.6086666666667,2.92010854253552
"159","Tree Swallow",648,2008,0,88.972,2.58716971786733
"160","Tree Swallow",649,2008,0,84.565,2.58933901968301
"161","Tree Swallow",674,2008,0,71.042,5.10146165038251
"162","Tree Swallow",702,2008,0,71.7033333333333,12.8342599435387
"163","Tree Swallow",736,2008,0,104.124666666667,4.68000274545383
"164","Tree Swallow",738,2008,0,124.455666666667,6.32302892506045
"165","Tree Swallow",393,2009,2,114.481333333333,5.28636296837121
"166","Tree Swallow",417,2009,0,74.522,5.28628706595166
"167","Tree Swallow",419,2009,1,91.9976666666667,3.4598147341855
"168","Tree Swallow",471,2009,2,82.5343333333333,8.77157158352503
"169","Tree Swallow",529,2009,2,72.1786666666667,8.51419845986844
"170","Tree Swallow",534,2009,0,109.307,2.67416056204009
"171","Tree Swallow",558,2009,3,102.675,2.99327494532319
"172","Tree Swallow",558,2009,4,112.728666666667,7.2303391453611
"173","Tree Swallow",558,2009,5,139.342,10.2900436182695
"174","Tree Swallow",563,2009,0,107.166,1.98807146318088
"175","Tree Swallow",567,2009,0,103.811666666667,1.57766501446119
